bait	prey	source
sll1967	slr2007	string
sll1967	slr1281	string
sll1967	slr1280	string
sll1967	slr1279	string
sll1967	slr0844	string
sll1967	slr0261	string
sll1967	slr0095	string
sll1967	sll1987	string
sll1958	ssr1720	string
sll1958	slr1031	string
sll1931	slr2072	string
sll1931	slr1703	string
sll1931	slr0861	string
sll1931	slr0638	string
sll1931	slr0220	string
sll1931	slr0091	string
sll1931	slr0070	string
sll1916	slr1434	string
sll1916	slr1239	string
sll1916	slr0936	string
sll1874	slr0905	string
sll1874	slr0506	string
sll1852	ssl2982	string
sll1852	slr1991	string
sll1852	slr1325	string
sll1852	slr1123	string
sll1852	slr0707	string
sll1852	slr0446	string
sll1852	slr0379	string
sll1848	slr0054	string
sll1841	slr1993	string
sll1841	slr1556	string
sll1841	slr0721	string
sll1841	slr0435	string
sll1841	slr0301	string
sll1841	slr0186	string
sll1823	slr1720	string
sll1823	slr0036	string
sll1818	ssl2982	string
